證券代號,證券名稱,Date,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1528,恩德,2021-01-28,678000,6330300,9.35,9.62,9.10,9.12,-0.27,293
1529,樂士,2021-01-28,134000,2194350,16.50,16.60,16.25,16.35,0.05,64
1530,亞崴,2021-01-28,45000,1421200,31.95,32.15,31.40,31.40,-0.60,36
1531,高林股,2021-01-28,70000,793950,11.30,11.40,11.30,11.35,0.00,59
1532,勤美,2021-01-28,395000,11842100,30.00,30.45,29.80,29.80,-0.20,243
1533,車王電,2021-01-28,21953000,1556242500,74.70,77.30,65.80,66.20,-6.90,13733
1535,中宇,2021-01-28,49000,1613600,32.90,33.15,32.85,32.85,-0.10,37
1536,和大,2021-01-28,5254000,621046500,120.50,122.50,115.00,115.00,-4.50,3682
1537,廣隆,2021-01-28,95000,13016500,137.50,137.50,136.50,136.50,-0.50,75
1538,正峰,2021-01-28,8000,61540,7.76,7.80,7.46,7.47,-0.37,8
1539,巨庭,2021-01-28,69000,1229850,17.95,18.05,17.70,18.05,0.05,32
1540,喬福,2021-01-28,266000,4002050,15.25,15.25,14.95,15.05,-0.15,104
1541,錩泰,2021-01-28,378000,21148800,54.00,57.80,54.00,54.60,0.90,262
1558,伸興,2021-01-28,64000,8946500,139.50,140.50,139.50,140.50,1.00,53
1560,中砂,2021-01-28,1057000,68817000,66.40,66.70,63.90,64.20,-2.00,750
1568,倉佑,2021-01-28,1893000,53273200,28.85,29.20,27.10,27.55,-0.85,1231
1582,信錦,2021-01-28,750000,60999300,82.00,82.20,80.90,81.00,-1.00,588
1583,程泰,2021-01-28,20000,1241500,61.60,62.80,61.10,61.40,-1.30,13
1587,吉茂,2021-01-28,171000,4024350,23.55,23.70,23.40,23.45,-0.25,109
1589,永冠-KY,2021-01-28,499000,38734700,78.20,78.60,76.60,77.80,0.00,329
1590,亞德客-KY,2021-01-28,2381000,2454133000,1105.00,1120.00,998.00,1000.00,-85.00,1983
1592,英瑞-KY,2021-01-28,317000,2440930,8.00,8.00,7.58,7.78,-0.13,179
1597,直得,2021-01-28,9720000,1121471500,112.00,119.00,112.00,112.00,1.50,6961
1598,岱宇,2021-01-28,1694000,170433700,101.00,102.50,98.50,98.50,-2.00,862
1603,華電,2021-01-28,191000,4972250,26.15,26.45,25.70,25.70,-0.75,130
1604,聲寶,2021-01-28,849000,21572250,25.45,25.55,25.30,25.30,-0.20,306
1605,華新,2021-01-28,9445000,157127850,16.85,17.00,16.40,16.45,-0.40,2928
1608,華榮,2021-01-28,2560000,28016200,11.15,11.15,10.70,10.70,-0.45,786
1609,大亞,2021-01-28,7283000,132847850,18.25,18.55,18.00,18.00,-0.15,2652
1611,中電,2021-01-28,1283000,16201100,12.75,12.85,12.50,12.50,0.00,490
1612,宏泰,2021-01-28,1612000,26680800,16.85,16.90,16.30,16.30,-0.30,669
1614,三洋電,2021-01-28,123000,4177300,33.95,34.20,33.90,33.95,-0.25,82
1615,大山,2021-01-28,127000,2956900,23.30,23.55,23.20,23.20,-0.20,88
1616,億泰,2021-01-28,358000,1873280,5.29,5.33,5.19,5.23,-0.06,136
1617,榮星,2021-01-28,52000,731850,14.05,14.15,14.05,14.10,-0.10,31
1618,合機,2021-01-28,972000,10647700,10.95,11.15,10.70,10.80,-0.15,319
1626,艾美特-KY,2021-01-28,170000,4035900,23.65,24.20,23.30,24.20,0.30,100
1701,中化,2021-01-28,695000,15246350,22.00,22.10,21.80,21.80,-0.25,374
1702,南僑,2021-01-28,452000,20181300,44.50,45.00,44.50,44.50,0.00,356
1707,葡萄王,2021-01-28,247000,42827500,174.00,174.00,172.50,173.00,-1.00,220
1708,東鹼,2021-01-28,229000,4979150,21.75,21.80,21.70,21.75,-0.05,144
1709,和益,2021-01-28,733000,10285600,14.10,14.15,13.95,14.00,-0.15,284
1710,東聯,2021-01-28,2488000,44939050,18.00,18.35,17.85,17.95,-0.05,1014
1711,永光,2021-01-28,977000,15152100,15.65,15.65,15.30,15.35,-0.25,455
1712,興農,2021-01-28,1013000,20779250,20.65,20.65,20.45,20.45,-0.20,522
1713,國化,2021-01-28,141000,2611550,18.55,18.65,18.50,18.55,0.00,53
1714,和桐,2021-01-28,3400000,31312230,9.30,9.32,9.11,9.17,-0.11,1075
1717,長興,2021-01-28,2788000,93447500,33.75,34.15,33.20,33.25,-0.70,1561
1718,中纖,2021-01-28,6757000,56666870,8.48,8.51,8.27,8.29,-0.16,2225
1720,生達,2021-01-28,243000,8669450,35.65,35.80,35.60,35.60,-0.10,157
1722,台肥,2021-01-28,2271000,114097100,50.30,50.50,50.00,50.30,0.00,868
1723,中碳,2021-01-28,387000,39030000,101.00,101.00,100.50,101.00,0.00,309
1724,台硝,2021-01-28,26000,323000,12.50,12.50,12.40,12.40,-0.10,21
1725,元禎,2021-01-28,35000,526000,15.05,15.15,15.00,15.00,-0.25,30
1726,永記,2021-01-28,85000,5957100,70.10,70.20,70.00,70.00,-0.40,71
1727,中華化,2021-01-28,30000,323600,10.90,10.90,10.75,10.75,-0.10,20
1730,花仙子,2021-01-28,109000,7590500,69.60,70.00,69.40,69.60,0.00,82
1731,美吾華,2021-01-28,325000,5377350,16.55,16.65,16.50,16.50,-0.05,166
1732,毛寶,2021-01-28,6991000,215344650,29.80,31.90,29.70,30.10,-0.10,3725
1733,五鼎,2021-01-28,154000,3405700,22.15,22.45,22.00,22.05,-0.15,82
1734,杏輝,2021-01-28,1175000,31974300,27.65,27.85,26.60,26.70,-1.00,747
1735,日勝化,2021-01-28,6000,99900,16.65,16.65,16.65,16.65,0.00,2
1736,喬山,2021-01-28,1605000,133273200,84.30,84.30,81.90,81.90,-2.40,1126
1737,臺鹽,2021-01-28,345000,11034400,32.00,32.10,31.90,32.05,0.00,164
1760,寶齡富錦,2021-01-28,770000,58110100,77.40,77.40,73.80,74.10,-2.50,580
1762,中化生,2021-01-28,653000,34660500,53.50,53.90,52.50,53.40,-0.20,462
1773,勝一,2021-01-28,277000,27976500,101.00,102.00,100.00,100.00,-1.00,214
1776,展宇,2021-01-28,30000,484050,16.15,16.25,16.05,16.15,0.05,21
1783,和康生,2021-01-28,478000,10827300,22.60,22.85,22.45,22.80,0.20,129
1786,科妍,2021-01-28,64000,3408400,53.10,53.80,53.00,53.00,-0.20,57
1789,神隆,2021-01-28,1130000,27624100,24.85,25.00,24.10,24.15,-0.70,724
1795,美時,2021-01-28,646000,43869000,68.70,68.90,67.30,67.50,-0.90,490
1802,台玻,2021-01-28,10291000,165585700,16.40,16.45,15.80,15.95,-0.25,3166
1805,寶徠,2021-01-28,581000,6402350,11.05,11.20,10.95,10.95,-0.05,99
1806,冠軍,2021-01-28,4636000,36693320,7.65,8.08,7.65,7.70,0.07,1157
1808,潤隆,2021-01-28,206000,11890800,57.50,58.00,57.50,57.50,-0.40,142
1809,中釉,2021-01-28,416000,4379850,10.60,10.70,10.40,10.45,-0.10,185
1810,和成,2021-01-28,480000,4325930,9.01,9.08,8.99,9.00,-0.04,228
1817,凱撒衛,2021-01-28,84000,2682850,32.00,32.00,31.90,31.90,-0.05,52
1903,士紙,2021-01-28,266000,12876100,48.70,49.00,47.90,48.10,-0.80,179
1904,正隆,2021-01-28,2735000,79426400,29.25,29.45,28.70,28.70,-0.50,1373
1905,華紙,2021-01-28,3101000,30999300,10.05,10.15,9.93,9.93,-0.07,983
1906,寶隆,2021-01-28,168000,2560200,15.35,15.45,15.05,15.05,-0.35,104
1907,永豐餘,2021-01-28,3822000,90069350,23.90,24.15,23.20,23.40,-0.35,1435
1909,榮成,2021-01-28,6820000,133721250,19.55,19.80,19.35,19.45,-0.10,1947
2002,中鋼,2021-01-28,33165000,767898050,23.25,23.55,22.95,22.95,-0.35,9145
2002A,中鋼特,2021-01-28,41000,2075100,50.60,50.90,50.50,50.80,0.00,32
2006,東和鋼鐵,2021-01-28,6022000,190371150,32.10,32.20,31.35,31.40,-0.70,3039
2007,燁興,2021-01-28,789000,6199270,7.96,8.02,7.70,7.72,-0.23,383
2008,高興昌,2021-01-28,172000,2241000,13.15,13.35,12.75,12.80,-0.30,116
2009,第一銅,2021-01-28,6901000,141246500,21.20,21.50,19.70,19.70,-1.00,3091
2010,春源,2021-01-28,1161000,13671250,11.80,11.95,11.60,11.70,-0.10,421
2012,春雨,2021-01-28,271000,4770450,17.60,18.00,17.35,17.45,-0.15,143
2013,中鋼構,2021-01-28,464000,13358650,28.80,29.00,28.50,28.50,-0.30,280
2014,中鴻,2021-01-28,15386000,213620100,14.15,14.25,13.60,13.60,-0.30,4594
2015,豐興,2021-01-28,643000,40668600,63.50,64.30,63.00,63.00,-0.70,438
2017,官田鋼,2021-01-28,1392000,14082150,10.40,10.40,10.00,10.25,-0.05,445
2020,美亞,2021-01-28,711000,13261750,18.80,18.85,18.55,18.65,-0.20,305
2022,聚亨,2021-01-28,1118000,7030300,6.35,6.41,6.20,6.22,-0.15,405
2023,燁輝,2021-01-28,4639000,53563550,11.70,11.85,11.35,11.35,-0.35,1482
2024,志聯,2021-01-28,85000,1212200,14.20,14.45,14.05,14.45,0.30,40
2025,千興,2021-01-28,338000,868770,2.56,2.60,2.52,2.52,-0.06,50
2027,大成鋼,2021-01-28,7201000,181637500,25.60,25.60,25.05,25.10,-0.30,2649
2028,威致,2021-01-28,1426000,30433150,21.90,22.00,20.50,20.55,-0.75,794
2029,盛餘,2021-01-28,225000,4525200,20.15,20.35,20.00,20.00,-0.15,129
2030,彰源,2021-01-28,920000,11306600,12.30,12.50,12.05,12.05,-0.20,406
2031,新光鋼,2021-01-28,1464000,50215650,34.65,34.75,34.10,34.10,-0.40,651
2032,新鋼,2021-01-28,744000,9407900,12.80,12.95,12.25,12.35,-0.15,327
2033,佳大,2021-01-28,214000,2524250,12.15,12.15,11.35,11.55,-0.30,115
2034,允強,2021-01-28,1524000,38371750,25.30,25.45,25.00,25.00,-0.10,716
